method,seed,coverage,risk
online,0,0.6733250104036621,0.15636588380716934
online,0,0.6783187682064087,0.15766871165644172
online,0,0.6833125260091553,0.15834348355663824
online,0,0.6883062838119018,0.15931076178960096
online,0,0.6935081148564295,0.15841584158415842
online,0,0.6985018726591761,0.15907059874888294
online,0,0.7034956304619226,0.15971606033717836
online,0,0.7084893882646691,0.160352422907489
online,0,0.7134831460674157,0.1615631379410907
online,0,0.7184769038701623,0.16304662612221257
online,0,0.7234706616729089,0.1630716134598792
online,0,0.7286724927174365,0.163049685893775
online,0,0.7336662505201831,0.1636415201361316
online,0,0.7386600083229297,0.163943661971831
online,0,0.7436537661256762,0.1650811415780638
online,0,0.7486475239284228,0.1659255141745414
online,0,0.7536412817311694,0.1662065157371618
online,0,0.758843112775697,0.16671236632848918
online,0,0.7638368705784436,0.1661672568782348
online,0,0.7688306283811902,0.16752368064952639
online,0,0.7738243861839368,0.16751815004033344
online,0,0.7788181439866834,0.1672455249799626
online,0,0.7838119017894298,0.16803822670560128
online,0,0.7888056595921764,0.16908467422843576
online,0,0.7940074906367042,0.17007337526205452
online,0,0.7990012484394506,0.17057291666666666
online,0,0.8039950062421972,0.17184265010351968
online,0,0.8089887640449438,0.17155349794238683
online,0,0.8139825218476904,0.17254601226993865
online,0,0.818976279650437,0.17479674796747968
online,0,0.8239700374531835,0.175
online,0,0.8291718684977112,0.17490589711417817
online,0,0.8341656263004578,0.17535545023696683
online,0,0.8391593841032043,0.1755516984874783
online,0,0.8441531419059509,0.17599211239832388
online,0,0.8491468997086975,0.1771624601813281
online,0,0.8541406575114441,0.17783191230207065
online,0,0.8591344153141905,0.17873577137321386
online,0,0.8643362463587183,0.17886374578719308
online,0,0.8693300041614649,0.17951172809956917
online,0,0.8743237619642114,0.17943836268443597
online,0,0.8793175197669579,0.18078561287269285
online,0,0.8843112775697045,0.18141176470588236
online,0,0.8893050353724511,0.18226485727655592
online,0,0.8942987931751977,0.18380642159143787
online,0,0.8995006242197253,0.1852879944482998
online,0,0.9044943820224719,0.1872555785599264
online,0,0.9094881398252185,0.18851521390986045
online,0,0.9144818976279651,0.1899886234357224
online,0,0.9194756554307116,0.19167232405521611
online,0,0.9244694132334582,0.19266261534998874
online,0,0.9294631710362048,0.19476158495634655
online,0,0.9346650020807324,0.19657168299198574
online,0,0.939658759883479,0.19818423383525244
online,0,0.9446525176862256,0.19933920704845814
online,0,0.9496462754889721,0.20157756354075373
online,0,0.9546400332917186,0.20248474280732345
online,0,0.9596337910944652,0.20424978317432785
online,0,0.9646275488972118,0.206427955133736
online,0,0.9698293799417395,0.20810984767217336
online,0,0.974823137744486,0.2096051227321238
online,0,0.9798168955472326,0.21129751539605013
online,0,0.9848106533499792,0.212761462074794
online,0,0.9898044111527258,0.21463107000210216
online,0,0.9947981689554724,0.21669106881405564
online,0,1.0,0.21910112359550563
naive_online,0,0.00020807324178110696,0.0
naive_online,0,0.005201831044527674,0.36
naive_online,0,0.01019558884727424,0.1836734693877551
naive_online,0,0.015189346650020807,0.136986301369863
naive_online,0,0.020183104452767373,0.10309278350515463
naive_online,0,0.02517686225551394,0.09917355371900827
naive_online,0,0.030170620058260506,0.08275862068965517
naive_online,0,0.03537245110278818,0.08823529411764706
naive_online,0,0.040366208905534745,0.08762886597938144
naive_online,0,0.04535996670828132,0.09174311926605505
naive_online,0,0.05035372451102788,0.09917355371900827
naive_online,0,0.05534748231377445,0.10150375939849623
naive_online,0,0.06034124011652101,0.10344827586206896
naive_online,0,0.06533499791926758,0.10191082802547771
